Source,Target,Weight,Type
Harry Potter,Vernon Dursley,255,Undirected
Harry Potter,Petunia Dursley,147,Undirected
Dudley Dursley,Harry Potter,196,Undirected
Petunia Dursley,Vernon Dursley,73,Undirected
Dudley Dursley,Vernon Dursley,49,Undirected
Dudley Dursley,Petunia Dursley,54,Undirected
Harry Potter,Severus Snape,415,Undirected
Harry Potter,Rubeus Hagrid,749,Undirected
Rubeus Hagrid,Severus Snape,12,Undirected
Severus Snape,Vernon Dursley,1,Undirected
Rubeus Hagrid,Vernon Dursley,1,Undirected
Hedwig,Vernon Dursley,15,Undirected
Harry Potter,Hedwig,107,Undirected
Hedwig,Petunia Dursley,7,Undirected
Dudley Dursley,Hedwig,4,Undirected
Dudley Dursley,Lord Voldemort,12,Undirected
Harry Potter,Lord Voldemort,987,Undirected
The Masons,Vernon Dursley,25,Undirected
Petunia Dursley,The Masons,36,Undirected
Dudley Dursley,The Masons,20,Undirected
Harry Potter,The Masons,61,Undirected
Dudley Dursley,Ronald Weasley,23,Undirected
Harry Potter,Ronald Weasley,3037,Undirected
Harry Potter,Hermione Granger,1282,Undirected
Hermione Granger,Ronald Weasley,857,Undirected
Hedwig,Ronald Weasley,51,Undirected
Hedwig,Hermione Granger,7,Undirected
Dudley Dursley,Hermione Granger,9,Undirected
Draco Malfoy,Harry Potter,1088,Undirected
Draco Malfoy,Dudley Dursley,9,Undirected
Draco Malfoy,Ronald Weasley,351,Undirected
Lord Voldemort,Ronald Weasley,100,Undirected
Draco Malfoy,Hermione Granger,201,Undirected
Hermione Granger,Lord Voldemort,58,Undirected
Draco Malfoy,Lord Voldemort,43,Undirected
Dobby,Petunia Dursley,31,Undirected
Dobby,Harry Potter,1459,Undirected
Dobby,Vernon Dursley,35,Undirected
Dobby,Dudley Dursley,14,Undirected
Dobby,The Masons,12,Undirected
Hedwig,The Masons,1,Undirected
Dobby,Hedwig,19,Undirected
Dobby,Hermione Granger,60,Undirected
Dobby,Lord Voldemort,42,Undirected
Dobby,Ronald Weasley,75,Undirected
Albus Dumbledore,Dobby,86,Undirected
Albus Dumbledore,Harry Potter,705,Undirected
Albus Dumbledore,Vernon Dursley,5,Undirected
Albus Dumbledore,Dudley Dursley,2,Undirected
Dobby,Rubeus Hagrid,17,Undirected
Hermione Granger,Rubeus Hagrid,117,Undirected
Ronald Weasley,Rubeus Hagrid,272,Undirected
Fred Weasley,Ronald Weasley,166,Undirected
George Weasley,Ronald Weasley,137,Undirected
Fred Weasley,Harry Potter,433,Undirected
George Weasley,Harry Potter,407,Undirected
Fred Weasley,George Weasley,159,Undirected
Fred Weasley,Hedwig,13,Undirected
Ronald Weasley,Vernon Dursley,24,Undirected
George Weasley,Vernon Dursley,22,Undirected
Fred Weasley,Vernon Dursley,16,Undirected
George Weasley,Hedwig,12,Undirected
Petunia Dursley,Ronald Weasley,8,Undirected
Fred Weasley,Petunia Dursley,3,Undirected
George Weasley,Petunia Dursley,2,Undirected
Dudley Dursley,Fred Weasley,5,Undirected
Dudley Dursley,George Weasley,7,Undirected
Dobby,George Weasley,8,Undirected
Dobby,Fred Weasley,9,Undirected
Draco Malfoy,Fred Weasley,73,Undirected
Fred Weasley,Lucius Malfoy,9,Undirected
Draco Malfoy,George Weasley,70,Undirected
George Weasley,Lucius Malfoy,8,Undirected
Harry Potter,Lucius Malfoy,103,Undirected
Dobby,Draco Malfoy,122,Undirected
Dobby,Lucius Malfoy,49,Undirected
Lucius Malfoy,Ronald Weasley,24,Undirected
Draco Malfoy,Lucius Malfoy,124,Undirected
Dudley Dursley,Lucius Malfoy,2,Undirected
Errol,Harry Potter,32,Undirected
Draco Malfoy,Errol,8,Undirected
Harry Potter,Percy Weasley,258,Undirected
Draco Malfoy,Percy Weasley,66,Undirected
Dobby,Errol,2,Undirected
Dobby,Percy Weasley,6,Undirected
Errol,Ronald Weasley,35,Undirected
Percy Weasley,Ronald Weasley,175,Undirected
Errol,Percy Weasley,12,Undirected
Errol,Fred Weasley,2,Undirected
Errol,George Weasley,2,Undirected
Fred Weasley,Percy Weasley,51,Undirected
George Weasley,Percy Weasley,43,Undirected
Molly Weasley,Ronald Weasley,97,Undirected
Harry Potter,Molly Weasley,233,Undirected
