Id,Label,Weight,House
Harry Potter,Harry Potter,2010,Gryffindor
Ronald Weasley,Ronald Weasley,707,Gryffindor
Hermione Granger,Hermione Granger,343,Gryffindor
Draco Malfoy,Draco Malfoy,252,Slytherin
Lord Voldemort,Lord Voldemort,168,Slytherin
Rubeus Hagrid,Rubeus Hagrid,167,Gryffindor
Albus Dumbledore,Albus Dumbledore,166,Gryffindor
Dobby,Dobby,165,Other
Ginny Weasley,Ginny Weasley,118,Gryffindor
Severus Snape,Severus Snape,103,Slytherin
Fred Weasley,Fred Weasley,102,Gryffindor
Professor McGonagall,Professor McGonagall,95,Gryffindor
George Weasley,George Weasley,91,Gryffindor
Nearly Headless Nick,Nearly Headless Nick,80,Gryffindor
Percy Weasley,Percy Weasley,73,Gryffindor
Moaning Myrtle,Moaning Myrtle,68,Ravenclaw
Argus Filch,Argus Filch,67,Other
Arthur Weasley,Arthur Weasley,65,Gryffindor
Molly Weasley,Molly Weasley,63,Gryffindor
Colin Creevey,Colin Creevey,62,Gryffindor
Oliver Wood,Oliver Wood,56,Gryffindor
Justin Finch-Fletchley,Justin Finch-Fletchley,50,Hufflepuff
Vernon Dursley,Vernon Dursley,41,Other
Neville Longbottom,Neville Longbottom,40,Gryffindor
Gregory Goyle,Gregory Goyle,40,Slytherin
The Headless Hunt,The Headless Hunt,38,Other
Dudley Dursley,Dudley Dursley,36,Other
Cornelius Fudge,Cornelius Fudge,34,Other
Vincent Crabbe,Vincent Crabbe,34,Slytherin
Fang,Fang,34,Other
Ernie Macmillan,Ernie Macmillan,32,Hufflepuff
Lucius Malfoy,Lucius Malfoy,31,Slytherin
Fawkes,Fawkes,30,Other
Petunia Dursley,Petunia Dursley,29,Other
Madam Pomfrey,Madam Pomfrey,29,Other
Peeves,Peeves,27,Other
Professor Sprout,Professor Sprout,26,Hufflepuff
Seamus Finnigan,Seamus Finnigan,26,Gryffindor
Aragog,Aragog,26,Other
Mrs Norris,Mrs Norris,24,Other
Hedwig,Hedwig,20,Other
Mr Borgin,Mr Borgin,18,Other
Millicent Bulstrode,Millicent Bulstrode,18,Slytherin
Professor Binns,Professor Binns,17,Other
Dean Thomas,Dean Thomas,16,Gryffindor
Katie Bell,Katie Bell,15,Gryffindor
Professor Dippet,Professor Dippet,11,Other
The Masons,The Masons,11,Other
Sir Patrick Delaney-Podmore,Sir Patrick Delaney-Podmore,10,Other
Salazar Slytherin,Salazar Slytherin,10,Slytherin
Professor Flitwick,Professor Flitwick,10,Ravenclaw
Madam Hooch,Madam Hooch,9,Other
Errol,Errol,9,Other
Alicia Spinnet,Alicia Spinnet,8,Gryffindor
Bill Weasley,Bill Weasley,7,Gryffindor
Madam Pince,Madam Pince,6,Other
Hannah Abbott,Hannah Abbott,5,Hufflepuff
Angelina Johnson,Angelina Johnson,4,Gryffindor
Charlie Weasley,Charlie Weasley,4,Gryffindor
Scabbers,Scabbers,3,Other
Godric Gryffindor,Godric Gryffindor,2,Gryffindor
The Bloody Baron,The Bloody Baron,1,Slytherin
Mosag,Mosag,1,Other
