Source,Target,Weight,Type
Harry Potter,Ronald Weasley,2811,Undirected
Harry Potter,Hermione Granger,990,Undirected
Harry Potter,Hedwig,141,Undirected
Harry Potter,Vernon Dursley,236,Undirected
Harry Potter,Petunia Dursley,64,Undirected
Dudley Dursley,Harry Potter,93,Undirected
Hermione Granger,Ronald Weasley,785,Undirected
Hedwig,Ronald Weasley,75,Undirected
Ronald Weasley,Vernon Dursley,50,Undirected
Petunia Dursley,Ronald Weasley,15,Undirected
Dudley Dursley,Ronald Weasley,20,Undirected
Hedwig,Hermione Granger,9,Undirected
Hermione Granger,Vernon Dursley,4,Undirected
Hermione Granger,Petunia Dursley,1,Undirected
Dudley Dursley,Hermione Granger,5,Undirected
Hedwig,Vernon Dursley,41,Undirected
Hedwig,Petunia Dursley,10,Undirected
Dudley Dursley,Hedwig,16,Undirected
Petunia Dursley,Vernon Dursley,54,Undirected
Dudley Dursley,Vernon Dursley,48,Undirected
Dudley Dursley,Petunia Dursley,23,Undirected
Dobby,Harry Potter,1137,Undirected
Dobby,Vernon Dursley,130,Undirected
Harry Potter,The Masons,30,Undirected
Dobby,The Masons,35,Undirected
Dobby,Dudley Dursley,19,Undirected
The Masons,Vernon Dursley,10,Undirected
Dudley Dursley,The Masons,1,Undirected
Dobby,Petunia Dursley,20,Undirected
Petunia Dursley,The Masons,2,Undirected
Fred Weasley,Hedwig,17,Undirected
George Weasley,Hedwig,7,Undirected
Fred Weasley,Harry Potter,141,Undirected
George Weasley,Harry Potter,115,Undirected
Fred Weasley,Ronald Weasley,102,Undirected
George Weasley,Ronald Weasley,70,Undirected
Fred Weasley,George Weasley,25,Undirected
Fred Weasley,Vernon Dursley,13,Undirected
Fred Weasley,Petunia Dursley,6,Undirected
George Weasley,Vernon Dursley,3,Undirected
George Weasley,Petunia Dursley,1,Undirected
Dudley Dursley,George Weasley,1,Undirected
Dudley Dursley,Fred Weasley,3,Undirected
Fred Weasley,Scabbers,2,Undirected
Fred Weasley,Molly Weasley,14,Undirected
Harry Potter,Scabbers,6,Undirected
Harry Potter,Molly Weasley,147,Undirected
Ronald Weasley,Scabbers,8,Undirected
Molly Weasley,Ronald Weasley,88,Undirected
Molly Weasley,Scabbers,3,Undirected
Ginny Weasley,Molly Weasley,28,Undirected
Ginny Weasley,Harry Potter,406,Undirected
Ginny Weasley,Ronald Weasley,151,Undirected
Arthur Weasley,Ronald Weasley,68,Undirected
George Weasley,Molly Weasley,17,Undirected
Arthur Weasley,Molly Weasley,17,Undirected
Arthur Weasley,Harry Potter,118,Undirected
George Weasley,Ginny Weasley,6,Undirected
Arthur Weasley,Ginny Weasley,20,Undirected
Arthur Weasley,George Weasley,11,Undirected
Arthur Weasley,Errol,8,Undirected
Errol,Harry Potter,26,Undirected
Errol,Ronald Weasley,19,Undirected
Errol,Molly Weasley,11,Undirected
Albus Dumbledore,Harry Potter,478,Undirected
Errol,George Weasley,10,Undirected
Albus Dumbledore,Errol,6,Undirected
Errol,Fred Weasley,4,Undirected
Albus Dumbledore,Molly Weasley,20,Undirected
Albus Dumbledore,George Weasley,4,Undirected
Albus Dumbledore,Arthur Weasley,30,Undirected
Arthur Weasley,Fred Weasley,2,Undirected
Albus Dumbledore,Fred Weasley,9,Undirected
Albus Dumbledore,Ronald Weasley,172,Undirected
Harry Potter,Percy Weasley,125,Undirected
Fred Weasley,Percy Weasley,7,Undirected
Molly Weasley,Percy Weasley,27,Undirected
Percy Weasley,Ronald Weasley,94,Undirected
George Weasley,Percy Weasley,5,Undirected
Draco Malfoy,Harry Potter,781,Undirected
Harry Potter,Lucius Malfoy,260,Undirected
Harry Potter,Mr Borgin,38,Undirected
Draco Malfoy,Lucius Malfoy,382,Undirected
